127.0.0.1 - - [16/May/2021:22:04:47 +0700] "GET /zkau/web/_zv2014022710/js/zk.fmt.wpd HTTP/1.1" 200 2861
127.0.0.1 - - [16/May/2021:22:04:47 +0700] "GET /zkau/web/7e58939e/zul/img/misc/progress.gif HTTP/1.1" 200 1849
127.0.0.1 - - [16/May/2021:22:04:47 +0700] "GET /zkau/view/z_8fc/s3GPv2/kve1/1/c/captcha1621177486411.png HTTP/1.1" 200 9642
127.0.0.1 - - [16/May/2021:22:04:47 +0700] "GET /zkau/web/7e58939e/images/layout/pattern.jpg HTTP/1.1" 200 7080
127.0.0.1 - - [16/May/2021:22:04:48 +0700] "POST /zkau HTTP/1.1" 200 33
127.0.0.1 - - [16/May/2021:22:04:49 +0700] "GET /zkau?dtid=z_8fc&cmd_0=rmDesktop&opt_0=i HTTP/1.1" 200 17
127.0.0.1 - - [16/May/2021:22:04:49 +0700] "POST /j_spring_security_check HTTP/1.1" 302 -
127.0.0.1 - - [16/May/2021:22:04:50 +0700] "GET /index HTTP/1.1" 200 9679
127.0.0.1 - - [16/May/2021:22:04:50 +0700] "GET /zkau/web/7e58939e/css/index.css.dsp HTTP/1.1" 200 13298
127.0.0.1 - - [16/May/2021:22:04:50 +0700] "GET /zkau/web/_zv2014022710/js/zul.lang.wpd HTTP/1.1" 200 1593
127.0.0.1 - - [16/May/2021:22:42:40 +0700] "POST /zkau HTTP/1.1" 302 -
127.0.0.1 - - [16/May/2021:22:42:41 +0700] "GET /zkau?dtid=z_znf&cmd_0=rmDesktop&opt_0=i HTTP/1.1" 200 9
127.0.0.1 - - [16/May/2021:22:42:41 +0700] "GET /index HTTP/1.1" 302 -
127.0.0.1 - - [16/May/2021:22:42:41 +0700] "POST /zkau HTTP/1.1" 200 54
127.0.0.1 - - [16/May/2021:22:42:41 +0700] "GET /zkau?dtid=z_znf&cmd_0=rmDesktop&opt_0=i HTTP/1.1" 200 9
127.0.0.1 - - [16/May/2021:22:42:42 +0700] "GET /login HTTP/1.1" 200 4259
127.0.0.1 - - [16/May/2021:22:42:42 +0700] "GET /login HTTP/1.1" 200 4259
127.0.0.1 - - [16/May/2021:22:42:42 +0700] "GET /login HTTP/1.1" 200 4259
127.0.0.1 - - [16/May/2021:22:42:42 +0700] "GET /zkau/web/_zv2014022710/js/zul.lang.wpd HTTP/1.1" 200 1593
127.0.0.1 - - [16/May/2021:22:42:42 +0700] "GET /zkau/view/z_oi90/qB9Av2/rag/1/c/captcha1621179761928.png HTTP/1.1" 200 10400
127.0.0.1 - - [16/May/2021:22:42:44 +0700] "POST /zkau HTTP/1.1" 200 33
127.0.0.1 - - [16/May/2021:22:42:44 +0700] "GET /zkau?dtid=z_oi90&cmd_0=rmDesktop&opt_0=i HTTP/1.1" 200 17
127.0.0.1 - - [16/May/2021:22:42:45 +0700] "POST /j_spring_security_check HTTP/1.1" 302 -
127.0.0.1 - - [16/May/2021:22:42:46 +0700] "GET /index HTTP/1.1" 200 9677
127.0.0.1 - - [16/May/2021:22:42:46 +0700] "GET /zkau/web/7e58939e/css/index.css.dsp HTTP/1.1" 200 13298
127.0.0.1 - - [16/May/2021:22:42:46 +0700] "GET /zkau/web/_zv2014022710/js/zul.lang.wpd HTTP/1.1" 200 1593
127.0.0.1 - - [16/May/2021:22:42:46 +0700] "GET /zkau/web/_zv2014022710/js/zkmax.nav.wpd HTTP/1.1" 200 3417
127.0.0.1 - - [16/May/2021:22:42:46 +0700] "GET /zkau/web/_zv2014022710/js/zul.db.wpd HTTP/1.1" 200 15579
127.0.0.1 - - [16/May/2021:22:42:50 +0700] "POST /zkau HTTP/1.1" 200 11407
127.0.0.1 - - [16/May/2021:23:12:48 +0700] "POST /zkau HTTP/1.1" 200 17
127.0.0.1 - - [16/May/2021:23:42:49 +0700] "POST /zkau HTTP/1.1" 302 -
127.0.0.1 - - [16/May/2021:23:42:49 +0700] "GET /login HTTP/1.1" 200 4255
